Mean_Latency_us,StdDev_us,CV,Usleep_Val
1295.11,159.84,0.1234,1000
1270.82,81.57,0.0642,1050
1269.44,73.55,0.0579,1050
1280.88,79.33,0.0619,1050
1289.49,74.70,0.0579,1050
1289.75,81.05,0.0628,1050
1287.37,74.03,0.0575,1050
1300.55,79.64,0.0612,1050
1297.60,71.73,0.0553,1050
1292.47,79.56,0.0616,1050
1292.65,74.40,0.0576,1050
1295.67,40.40,0.0312,1050
1347.63,76.90,0.0571,1000
1351.84,75.44,0.0558,1000
1348.56,72.01,0.0534,1000
1349.24,77.97,0.0578,1000
1347.36,71.45,0.0530,1000
1353.71,78.71,0.0581,1000
1348.68,76.04,0.0564,1000
1352.90,71.74,0.0530,1000
1349.18,74.67,0.0553,1000
1353.01,75.96,0.0561,1000
1348.09,72.59,0.0538,1000
1352.73,75.24,0.0556,1000
1347.52,83.22,0.0618,1000
1348.84,35.30,0.0262,1000
1393.97,22.02,0.0158,950
1435.40,35.52,0.0247,900
1485.36,36.72,0.0247,850
1531.08,20.26,0.0132,800
1593.54,79.02,0.0496,750
1636.11,37.35,0.0228,700
1684.68,36.25,0.0215,650
1736.20,37.04,0.0213,600
1790.84,40.60,0.0227,550
1848.00,35.26,0.0191,500
1848.49,36.68,0.0198,500
1849.29,25.19,0.0136,500
1848.75,36.07,0.0195,500
1844.17,35.36,0.0192,500
1844.62,37.98,0.0206,500
1844.79,20.54,0.0111,500
1849.38,33.80,0.0183,500
1838.20,42.29,0.0230,500
1834.33,34.61,0.0189,500
1843.06,15.77,0.0086,500
1846.93,36.14,0.0196,500
1835.40,34.78,0.0190,500
1838.86,33.97,0.0185,500
1848.19,22.81,0.0123,500
1847.24,34.45,0.0186,500
1838.12,43.49,0.0237,500
1840.18,37.88,0.0206,500
1835.19,41.01,0.0223,500
1835.71,24.58,0.0134,500
1838.33,35.04,0.0191,500
1836.31,35.59,0.0194,500
1844.10,35.07,0.0190,500
1844.26,17.41,0.0094,500
1847.19,19.70,0.0107,500
1855.48,84.46,0.0455,500
1849.70,82.60,0.0447,500
1848.20,80.49,0.0436,500
1854.78,83.71,0.0451,500
1852.87,81.50,0.0440,500
1842.66,85.55,0.0464,500
1838.83,85.03,0.0462,500
1837.73,79.91,0.0435,500
1839.80,83.84,0.0456,500
1850.06,83.99,0.0454,500
1851.85,79.97,0.0432,500
1839.84,81.26,0.0442,500
1845.45,85.00,0.0461,500
1843.33,81.87,0.0444,500
1844.23,84.63,0.0459,500
1853.12,82.10,0.0443,500
1851.36,82.64,0.0446,500
1844.66,83.41,0.0452,500
1841.87,85.71,0.0465,500
1835.75,36.14,0.0197,500
1837.92,45.82,0.0249,500
1846.23,35.02,0.0190,500
1847.54,21.32,0.0115,500
1836.98,46.78,0.0255,500
1834.10,35.59,0.0194,500
1848.04,36.30,0.0196,500
1844.35,35.78,0.0194,500
1845.25,36.73,0.0199,500
1844.53,22.74,0.0123,500
1833.54,21.78,0.0119,500
1841.12,34.01,0.0185,500
1835.75,41.10,0.0224,500
1834.06,34.87,0.0190,500
1834.93,33.78,0.0184,500
1836.91,24.30,0.0132,500
1836.20,34.71,0.0189,500
1837.95,35.52,0.0193,500
1837.35,35.24,0.0192,500
1836.92,33.66,0.0183,500
1833.85,38.24,0.0209,500
1836.81,25.98,0.0141,500
